Mean R,Mean G,Mean B,Std R,Std G,Std B,Green %,Contrast,Energy,Homogeneity,LBP0,LBP1,LBP2,LBP3,LBP4,LBP5,LBP6,LBP7,LBP8,LBP9,Edge Density,Num Contours,Max Contour Area,Avg Circularity,Label
0.44104132,0.52604306,0.40151113,0.17814162,0.1564152,0.23561335,58.94775390625,824.8558670343137,0.011033533194760779,0.08206435883575117,0.1314697265625,0.107147216796875,0.0525054931640625,0.053741455078125,0.056976318359375,0.05841064453125,0.0584564208984375,0.1068572998046875,0.1524505615234375,0.22198486328125,51.87469482421875,701,329.0,0.08902214399473082,0
0.41958785,0.48759663,0.37731493,0.20888437,0.17024252,0.2837345,58.38775634765625,760.763082107843,0.0102602675502487,0.0910391251671208,0.1218719482421875,0.1083831787109375,0.056793212890625,0.0600433349609375,0.063812255859375,0.0623931884765625,0.061279296875,0.1063079833984375,0.144622802734375,0.2144927978515625,50.18211364746094,663,599.0,0.07807783882888163,0
0.5049577,0.5469675,0.44596398,0.22069669,0.1683899,0.2604681,54.5196533203125,860.135355392157,0.010151240751853113,0.06635275475622687,0.135498046875,0.11419677734375,0.05377197265625,0.0493621826171875,0.0455169677734375,0.0529022216796875,0.05743408203125,0.1091156005859375,0.1528472900390625,0.2293548583984375,49.94865417480469,689,818.5,0.08400930898585315,0
0.5067787,0.5567455,0.44392157,0.17743781,0.1346507,0.22747077,49.93743896484375,613.9251225490196,0.01243107325531675,0.09939134852591656,0.1253509521484375,0.1108551025390625,0.052398681640625,0.05853271484375,0.0579681396484375,0.060516357421875,0.05792236328125,0.1101531982421875,0.1474456787109375,0.2188568115234375,43.41178894042969,670,205.0,0.09331180745720434,0
0.41947004,0.49446604,0.4027034,0.16789782,0.13727695,0.2204387,56.65740966796875,915.6507506127454,0.010700025636985022,0.06914341490620708,0.1259613037109375,0.107666015625,0.056854248046875,0.0605926513671875,0.0631256103515625,0.061126708984375,0.06103515625,0.1060638427734375,0.142974853515625,0.214599609375,64.63714599609375,767,396.5,0.07579594907081211,0
0.4599236,0.49407068,0.42529768,0.20771348,0.15906264,0.25579104,49.73602294921875,447.4664368872549,0.014856008534961282,0.09950034097073993,0.120208740234375,0.112518310546875,0.0532379150390625,0.0583038330078125,0.061614990234375,0.0666351318359375,0.0645599365234375,0.1086883544921875,0.1394805908203125,0.214752197265625,34.86717224121094,492,233.5,0.0943056335999096,0
0.46926725,0.5094376,0.4237488,0.19173025,0.15364891,0.21518236,52.06146240234375,686.7010110294117,0.010934624697583765,0.08253488151152422,0.130706787109375,0.1110076904296875,0.0532379150390625,0.05218505859375,0.051544189453125,0.054473876953125,0.0577239990234375,0.1131744384765625,0.150238037109375,0.2257080078125,48.9642333984375,660,706.5,0.1000456054988093,0
0.41474664,0.5100262,0.38903892,0.17451887,0.15583245,0.23665935,55.67779541015625,756.5039215686277,0.011239186242909307,0.08870672398013205,0.119232177734375,0.1036376953125,0.058807373046875,0.0651702880859375,0.0677490234375,0.0692138671875,0.0640411376953125,0.10540771484375,0.138641357421875,0.208099365234375,52.41554260253906,712,545.0,0.08304500698108068,0
0.5357909,0.5852053,0.486319,0.1842608,0.1272776,0.23544349,44.31915283203125,643.1449295343137,0.013178707876742751,0.08352311333963489,0.1222076416015625,0.11456298828125,0.055084228515625,0.0584564208984375,0.0579071044921875,0.0621185302734375,0.0611419677734375,0.1095733642578125,0.144073486328125,0.214874267578125,45.64521789550781,632,479.5,0.0970364079046802,0
0.37577036,0.47039783,0.34139508,0.20488328,0.15597238,0.2629265,64.42718505859375,682.087086397059,0.01127468151277227,0.09596609441782404,0.1252593994140625,0.1072998046875,0.053863525390625,0.059051513671875,0.05859375,0.0608062744140625,0.0601959228515625,0.1074981689453125,0.1481475830078125,0.2192840576171875,50.20545959472656,648,388.0,0.0975492713061108,0
0.5199137,0.5682937,0.47400993,0.20154333,0.13684589,0.24985525,46.22344970703125,651.6795496323531,0.0147677686417291,0.09602639783089949,0.118499755859375,0.1104583740234375,0.057098388671875,0.062896728515625,0.0622406005859375,0.0642547607421875,0.0635986328125,0.1101531982421875,0.1395721435546875,0.2112274169921875,37.664794921875,495,438.5,0.10591633498300479,0
0.40478826,0.4849719,0.36459398,0.20111632,0.18228413,0.24830385,63.4368896484375,1009.9972886029414,0.009186739380374224,0.06218238574669591,0.1406097412109375,0.10980224609375,0.0482025146484375,0.04461669921875,0.047698974609375,0.0494537353515625,0.0543060302734375,0.1103515625,0.1601715087890625,0.2347869873046875,56.3726806640625,816,260.5,0.07662892106518185,0
0.4324476,0.5019817,0.4462998,0.15623322,0.14081956,0.18714608,52.5360107421875,816.5538602941176,0.015313333950585858,0.12709629115439938,0.111663818359375,0.1088714599609375,0.052947998046875,0.066314697265625,0.0770263671875,0.072113037109375,0.0668487548828125,0.1086273193359375,0.134796142578125,0.2007904052734375,48.89030456542969,597,1150.5,0.08097684947127494,0
0.4789308,0.52104926,0.4162687,0.18872759,0.13453013,0.22858286,51.36566162109375,757.8794270833336,0.010032847310638833,0.058319133975720285,0.140380859375,0.112640380859375,0.0518951416015625,0.04522705078125,0.04296875,0.0462799072265625,0.051849365234375,0.1123199462890625,0.158721923828125,0.2377166748046875,53.345489501953125,796,383.5,0.0885494051258985,0
0.4068504,0.48418462,0.4170652,0.19386867,0.15631516,0.23451646,62.384033203125,911.694623161765,0.01044334997917266,0.0808802734604498,0.1291961669921875,0.10760498046875,0.0530548095703125,0.0564117431640625,0.0565948486328125,0.0597991943359375,0.059234619140625,0.1090545654296875,0.1483917236328125,0.2206573486328125,55.80848693847656,760,1366.5,0.09204372492693581,0
